layer,mse
features.0,0.00017073565322789364
features.3,5.2731997129740193e-05
features.8,0.00020079610112588853
features.11,0.0002550172066548839
features.16,0.0001616162589925807
features.19,0.00023797379071766045
classifier.1,0.0014918990927981213
classifier.4,0.022537270095199347
